Partition,Algorithm,BlendWeight,User,TestTime,NAttempted,NGood,Coverage,RMSE,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,,34739,0.084,5,5,1.0,1.3660527148359005,0.9953420773759949,13.989057293322526,0.0,0.0,,0.0
5,lucene,,35050,0.164,5,5,1.0,0.5467993006420773,0.9919702672058219,12.369354058148824,0.06996419434112418,0.041666666666666664,24,0.041666666666666664
5,lucene,,35246,0.158,5,5,1.0,0.9068005852782541,1.0,11.823465818787767,0.0,0.0,,0.0
5,lucene,,35259,0.145,5,5,1.0,0.8180266247403524,0.9667359550270999,12.973339221038733,0.0,0.0,,0.0
5,lucene,,35823,0.038,5,4,0.8,2.054304769429242,0.986431099256704,15.654648767857287,0.09107279844140218,0.09090909090909091,11,0.09090909090909091
5,lucene,,36624,0.056,5,5,1.0,0.5280936082296136,0.985403467143771,16.87735500015086,0.07100172180189104,0.07692307692307693,13,0.07692307692307693
5,lucene,,36724,0.8290000000000001,5,5,1.0,0.7861256387841362,0.960820312809477,13.961763525616098,0.0,0.0,,0.0
5,lucene,,38256,0.038,5,5,1.0,0.529973379958905,0.995574875922354,15.596551844328435,0.0,0.0,,0.0
5,lucene,,38605,0.165,5,5,1.0,0.8101457881075601,0.9740171804883604,13.83532532593068,0.0,0.0,,0.0
5,lucene,,41240,0.046,5,5,1.0,1.357295673938692,0.9648744413337533,11.953762583614063,0.0,0.0,,0.0
5,lucene,,41486,0.147,5,5,1.0,1.3608931708548504,0.8257347811747762,9.969480655897856,0.0,0.0,,0.0
5,lucene,,41557,0.07,5,5,1.0,0.4754723358460296,0.9636371141973218,13.25028381172028,0.0,0.0,,0.0
5,lucene,,42015,0.035,5,4,0.8,1.0523559467967838,0.8492467270964612,9.077324383928644,0.0,0.0,,0.0
5,lucene,,42124,0.16,5,5,1.0,0.834324125240451,0.9375215674344484,11.254142376861159,0.0,0.0,,0.0
5,lucene,,42245,0.156,5,5,1.0,0.5931536469525143,1.0,12.388930695573494,0.0,0.0,,0.0
5,lucene,,42367,0.08700000000000001,5,5,1.0,0.4724322276723236,0.9827955058999777,14.281086967542706,0.0,0.0,,0.0
5,lucene,,43829,0.109,5,5,1.0,0.45543140255337866,1.0,13.25028381172028,0.3018803262509651,1.0,1,1.0
5,lucene,,44086,0.106,5,5,1.0,1.1151375908936598,0.9210421689971561,11.08469233718552,0.05455976811941319,0.07142857142857142,14,0.07142857142857142
5,lucene,,45252,0.058,5,4,0.8,0.53701966402914,0.8863291876012187,12.02371901428583,0.0,0.0,,0.0
5,lucene,,45537,0.079,5,5,1.0,0.5202619700404694,0.9922798298246815,12.869354058148824,0.08028092927109082,0.05,20,0.05
5,lucene,,45854,0.096,5,5,1.0,0.3608210475179368,0.9830467387302566,14.4964252465794,0.0,0.0,,0.0
5,lucene,,46392,0.101,5,5,1.0,0.23517814745130589,1.0,15.065748688506009,0.17708264692542425,0.12142857142857143,10,0.1
5,lucene,,47573,0.084,5,5,1.0,0.7417803161207068,0.9661023471560113,14.25028381172028,0.0641230740078424,0.07692307692307693,13,0.07692307692307693
5,lucene,,48821,0.14400000000000002,5,5,1.0,1.0028155417558977,0.989487265535227,12.323465818787767,0.0,0.0,,0.0
5,lucene,,49129,0.137,5,5,1.0,1.4272987166919844,0.9540236775546129,10.388297706828334,0.12434506777339575,0.16666666666666666,6,0.16666666666666666
5,lucene,,49642,0.165,5,5,1.0,1.2915424625213192,1.0,8.596268032608155,0.0,0.0,,0.0
5,lucene,,49666,0.09,5,5,1.0,0.6022567205664081,1.0,13.319607253646886,0.0,0.0,,0.0
5,lucene,,50019,0.06,5,5,1.0,1.4321436122388518,0.8494883734850092,11.2464252465794,0.0,0.0,,0.0
5,lucene,,50283,0.049,5,3,0.6,0.9593859332006475,0.7754322443930508,11.154648767857287,0.0,0.0,,0.0
5,lucene,,51255,0.038,5,4,0.8,0.3541465402358651,0.9006152717177326,11.7082541375001,0.0,0.0,,0.0
5,lucene,,51460,0.036000000000000004,5,5,1.0,0.5364897486032442,0.9957932567145273,15.4964252465794,0.24827960996889198,0.21428571428571427,3,0.3333333333333333
5,lucene,,52004,0.132,5,5,1.0,0.5902178607537119,0.9974791995977742,13.715622090756977,0.1014317047817472,0.08333333333333333,12,0.08333333333333333
5,lucene,,52437,0.095,5,5,1.0,0.7885581315420238,0.9805851467754477,13.615495493007945,0.0,0.0,,0.0
5,lucene,,52520,0.139,5,5,1.0,0.7087480270192386,0.9893618047002753,15.40015721397125,0.07005904320766246,0.041666666666666664,24,0.041666666666666664
5,lucene,,54114,0.038,5,5,1.0,1.2624333793723739,0.9457884391627278,15.162016721114163,0.0,0.0,,0.0
5,lucene,,54989,0.11,5,4,0.8,0.6804559573557883,0.9252732456853306,11.52371901428583,0.0,0.0,,0.0
5,lucene,,55704,0.101,5,5,1.0,0.4132510157834149,1.0,14.031086967542706,0.0,0.0,,0.0
5,lucene,,56478,0.028,5,3,0.6,1.4923995873801401,0.7036350602912061,9.315464876785729,0.0,0.0,,0.0
5,lucene,,57387,0.101,5,5,1.0,0.7687248385850973,0.9423596349503127,13.961763525616098,0.07027670225175162,0.05,20,0.05
5,lucene,,57474,0.058,5,5,1.0,0.5014812679775598,1.0,14.385072130432615,0.0,0.0,,0.0
5,lucene,,57742,0.058,5,5,1.0,0.8408932297406533,0.9573147619144593,12.41587528625504,0.0,0.0,,0.0
5,lucene,,59424,0.11,5,5,1.0,0.8506094331529793,0.9521628738401584,16.30803155822425,0.0,0.0,,0.0
5,lucene,,60016,0.133,5,5,1.0,0.5594117846622342,0.9839592455335534,11.319607253646886,0.0,0.0,,0.0
5,lucene,,60022,0.121,5,5,1.0,0.9132654024909411,0.9088918915366767,12.815748688506009,0.0,0.0,,0.0
5,lucene,,60710,0.14,5,5,1.0,0.5160144507328025,0.9710627155066013,12.385072130432615,0.0,0.0,,0.0
5,lucene,,61755,0.056,5,5,1.0,0.3986145049111505,0.9978078698566161,15.777228402401827,0.07938603453708669,0.08333333333333333,12,0.08333333333333333
5,lucene,,62046,0.096,5,5,1.0,0.7095418399551312,1.0,10.60426897461019,0.0,0.0,,0.0
5,lucene,,62314,0.125,5,5,1.0,0.9216220246960203,1.0,11.292662662965341,0.0,0.0,,0.0
5,lucene,,62805,0.14200000000000002,5,5,1.0,0.5013373185274329,0.9864661425000899,13.450537007218344,0.0,0.0,,0.0
5,lucene,,63018,0.082,5,5,1.0,0.8220572756073369,0.9473278555528479,8.43867750007543,0.0,0.0,,0.0
5,lucene,,63902,0.14300000000000002,5,5,1.0,0.8557674531455093,0.942486363999875,10.465622090756977,0.0,0.0,,0.0
